Période,Kalman_Smooth_1,Kalman_Smooth_2
1987-08-01,-12.682762193303414,-81.82612497444707
1987-09-01,-12.70824801897624,-81.81200203523318
1987-10-01,-12.737650150392644,-81.7957090459975
1987-11-01,-12.691477315487889,-81.82129540322114
1987-12-01,-12.69205522032802,-81.82097527517189
1988-01-01,-12.681451514375933,-81.82685134779138
1988-02-01,-12.637890308227814,-81.85099055422944
1988-03-01,-12.646269205040392,-81.84634752381865
1988-04-01,-12.645192022251162,-81.84694440567128
1988-05-01,-12.647456319359774,-81.84568969925981
1988-06-01,-12.62900662502063,-81.8559134902663
1988-07-01,-12.629606242494503,-81.85558122611702
1988-08-01,-12.645140025663201,-81.84697329812536
1988-09-01,-12.630010915850715,-81.8553570056283
1988-10-01,-12.617952640636553,-81.86203904895733
1988-11-01,-12.616250268876898,-81.86298244260428
1988-12-01,-12.612426000800486,-81.86510165482407
1989-01-01,-12.608188561518155,-81.86744974885819
1989-02-01,-12.633448960264328,-81.85345182897233
1989-03-01,-12.640766068447839,-81.84939707218872
1989-04-01,-12.628044217925037,-81.85644679860356
1989-05-01,-12.626137204980338,-81.85750359997708
1989-06-01,-12.617004322005,-81.86256455041969
1989-07-01,-12.611971673597425,-81.86535339482388
1989-08-01,-12.599699121606307,-81.87215414448207
1989-09-01,-12.611635400552181,-81.86553971524164
1989-10-01,-12.628605172556684,-81.85613595671501
1989-11-01,-12.643377689782236,-81.84794980499315
1989-12-01,-12.648517752590047,-81.84510138155217
1990-01-01,-12.6747200835336,-81.83058146251557
1990-02-01,-12.692038091345502,-81.82098475851944
1990-03-01,-12.700290934991436,-81.81640167677438
1990-04-01,-12.377297769465661,-79.91011726702445
1990-05-01,-12.325715964061594,-79.57376549692502
1990-06-01,-12.227511809679745,-78.79407403669329
1990-07-01,-12.167180466100744,-78.4104352703107
1990-08-01,-11.797794287373451,-75.74787407219455
1990-09-01,-11.53728168179119,-73.85908063144652
1990-10-01,-11.365765537712841,-72.75508686993112
1990-11-01,-11.365096534335796,-72.75545196025584
1990-12-01,-11.343256897378943,-72.76754673558976
1991-01-01,-11.09634803984811,-71.28828572789925
1991-02-01,-11.005403898577036,-70.92162079625159
1991-03-01,-11.008167562948811,-70.92008154654638
1991-04-01,-10.818553769296656,-69.77399076712221
1991-05-01,-10.71108254809887,-69.05155626111801
1991-06-01,-10.490615652303989,-67.50550337753818
1991-07-01,-10.336246648715175,-66.39200347092044
1991-08-01,-10.146948048302448,-65.24573609195055
1991-09-01,-10.134158738267034,-65.25280976268901
1991-10-01,-9.902225868469216,-63.76524415360281
1991-11-01,-9.664478688503591,-62.280902469600264
1991-12-01,-9.731752146575625,-62.660669199096915
1992-01-01,-9.707664357130653,-62.67401338353332
1992-02-01,-9.533484388751093,-61.519371774242586
1992-03-01,-9.479379069142864,-61.13229085565256
1992-04-01,-9.379454044842188,-60.405682512759704
1992-05-01,-9.255652287448529,-59.64017384978905
1992-06-01,-9.216047593658532,-59.24506112186455
1992-07-01,-9.169556933992611,-58.85376640498406
1992-08-01,-9.127688933351235,-58.51204156886656
1992-09-01,-9.06124132903874,-58.13180397536259
1992-10-01,-8.915536641214898,-57.37843282573517
1992-11-01,-8.796610227847836,-56.66235399869461
1992-12-01,-8.754017932930733,-56.26889516951672
1993-01-01,-8.618779349129854,-55.50972397101624
1993-02-01,-8.490957520591826,-54.746439220550734
1993-03-01,-8.297400914453965,-53.65466283429109
1993-04-01,-8.227425495797732,-53.27637825374646
1993-05-01,-8.171666917214877,-52.89021939193183
1993-06-01,-8.117835006001249,-52.555122356077476
1993-07-01,-7.969407331462687,-51.803260177385
1993-08-01,-7.8297489833848415,-51.04653824217487
1993-09-01,-7.755256234019823,-50.67075696667533
1993-10-01,-7.627694016538882,-49.95946565118997
1993-11-01,-7.5762354091424635,-49.57092204060688
1993-12-01,-7.507295722237871,-49.19206912168406
1994-01-01,-7.485621229851894,-49.2040760390662
1994-02-01,-7.446501132194392,-48.808700697064154
1994-03-01,-7.473378148941908,-48.79379930485825
1994-04-01,-7.3052013190004885,-47.68796078077564
1994-05-01,-7.2061416168785,-46.90873947498227
1994-06-01,-7.1783735403657865,-46.50706588397751
1994-07-01,-7.056175988263067,-45.792803615263836
1994-08-01,-7.069763754971992,-45.785266406864935
1994-09-01,-6.981870452754025,-44.99986100987526
1994-10-01,-6.865867329563543,-44.23003251911908
1994-11-01,-6.8588352667693435,-44.233923681666006
1994-12-01,-6.8035496381685565,-43.899632183757056
1995-01-01,-6.635353386795315,-42.74167302220637
1995-02-01,-6.57100559980524,-42.36026959110885
1995-03-01,-6.507867295396234,-41.978200194633594
1995-04-01,-6.448077872253741,-41.6464064377584
1995-05-01,-6.374456698914136,-41.27014406978675
1995-06-01,-6.24827363590179,-40.505958770178864
1995-07-01,-6.250775772694298,-40.5045587570482
1995-08-01,-5.960299064250744,-38.632384980960104
1995-09-01,-5.847158742777726,-37.86096270829631
